Year,Kings,Fresno,Kern,Merced,Stanislaus,Madera,Tulare,SLO
2000,1730,10480,6410,1960,4270,1210,3810,1240
2001,1280,10200,5890,2350,4820,1450,3880,1380
2002,890,10230,6260,2570,5050,1170,3610,1240
2003,1150,10980,8570,3370,5540,1480,5220,1370
2004,1170,9870,7300,2830,4980,1310,4880,1270
2005,1310,9100,6850,2910,4720,1420,4510,1370
2006,1200,9440,7300,3010,4880,1720,3810,1100
2007,1130,10710,7540,2320,4600,1490,3690,1320
2008,1260,11020,7810,3530,5370,1270,4240,1270
2009,1560,12340,8610,3140,6030,1530,4980,1320
2010,1880,12910,8500,3570,5880,1420,5050,1320
2011,2100,11880,9000,2660,5040,1480,4440,1220
2012,2180,13120,8270,2400,4380,1030,4220,1360
